學校,科系,項目,說明,指定項目甄試日期
國立臺灣大學,中國文學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.AOPQN必備，其餘選備。選備至少2項，至多3項。2.B限文史哲小論文，C包含文學創作、編輯報刊、專題報導或文學展演等，BC必選至少1項。FJK至少1項。J限文史哲各類競賽（宜附得獎證明及作品）。K限報刊雜誌公開發表之文學作品或評論。3.OP各600字以內，Q300字以內。O須說明選修與本系領域相關課程之動機理由及心得。,114.5.16
國立臺灣大學,外國語文學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現（L.檢定證照）：係指英語能力檢定證明。,114.5.17
國立臺灣大學,歷史學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、K、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,請詳閱本校歷史學系「書面資料準備指引」。,114.5.15
國立臺灣大學,哲學系,修課紀錄(A)、課程學習成果(D、E)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.小論文)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現(F)：可以出具自主學習之有利文件及檢定證明。2.學習歷程自述(P)：含自傳、申請動機與優勢自評(以500字為上限)。3.其他(R.小論文)：請說明你對「人類是否有道德上的責任，去確保其他生物能夠繼續生存與繁衍？」這個問題的看法，並提供理由加以論證（篇幅800字以內）,114.5.24至114.5.25
國立臺灣大學,人類學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其他(R.個人資料表)：請至本系網站下載統一表格。,114.5.25
國立臺灣大學,圖書資訊學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q)、其他(R.本系個人資料表、S.選繳其他有利審查資料、T.選繳彌封之師長推薦函) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.勿附學測成績。2.多元表現(L)：英外語證明種類範圍不限。3.其他(R.本系個人資料表)：請至本系網站下載統一表格。4.其他(S.選繳有利審查資料)：範圍限高中，請附「附件總表」。5.其他(T.選繳彌封之師長推薦函)：請於報名截止前(郵戳為憑)郵寄至本系，並註明「申請實體資料-姓名、學測應試號碼」。,114.5.25
國立臺灣大學,日本語文學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表及自傳) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現（F.K.L.M.N）包含英、日語等相關語言檢定證明或其他特殊表現證明等資料，範圍限高中。2.個人資料表及自傳（R）（必繳）限用本系統一表格，請逕至本系網頁中最新消息之招生公告下載表格。,114.5.18
國立臺灣大學,戲劇學系,修課紀錄(A)、多元表現(J、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.請於3月27日(四)中午12:00起至本系招生網址(http://theatre.ntu.edu.tw/admissions-undergraduate)下載審查資料繳交說明並依規定辦理。2.請勿上傳學測成績單。,114.5.24
國立臺灣大學,數學系,修課紀錄(A)、課程學習成果(D)、多元表現(J、K、M、N)、學習歷程自述(O、P)、其他(R.數學學習自述書、S.推薦信)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.修課紀錄(A)：著重數學科目及其加深加廣選修表現。2.多元表現(J,K,M,N)：參加數學相關競賽表現擇優三次成績、其他可資證明適合就讀本系之表現優良事蹟擇優三項、成果作品(如科展作品、研究報告)。前述3項須至少擇一提供。3.其他(R)數學學習自述書以及(S)推薦信格式請至本系網頁下載。推薦信請透過甄選會上傳系統繳交。",114.5.18
國立臺灣大學,物理學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現(M特殊優良表現證明)：著重與本系相關的學科表現(如：參與物理相關之培訓計畫)、科展競賽成果，另可檢附學生認為有利審查之資料。,114.5.16
